 Year Mon  Area
 1982  4 1377.3
 1982  5  554.1
 1982  6 1994.1
 1982  7 1481.3
 1982  8 1218.9
 1982  9  819.0
 1982 10  645.8
 1982 11  412.5
 1982 12  915.0
 1983  1  514.4
 1983  2  147.5
 1983  3   47.0
 1983  4   94.7
 1983  5  356.3
 1983  6  372.4
 1983  7  222.6
 1983  8   95.7
 1983  9   84.9
 1983 10  648.5
 1983 11   51.3
 1983 12   81.7
 1984  1 1154.8
 1984  2 1286.1
 1984  3  278.2
 1984  4  332.3
 1984  5  786.3
 1984  6  116.2
 1984  7  100.3
 1984  8   59.6
 1984  9   26.1
 1984 10   53.7
 1984 11   47.1
 1984 12   26.2
 1985  1    9.9
 1985  2   76.0
 1985  3  112.9
 1985  4  349.1
 1985  5   76.1
 1985  6   52.3
 1985  7   51.0
 1985  8   10.4
 1985  9    0.9
 1985 10  189.7
 1985 11   21.9
 1985 12   30.7
 1986  1    0.9
 1986  2   19.0
 1986  3  123.3
 1986  4  159.6
 1986  5   42.5
 1986  6    1.4
 1986  7   92.6
 1986  8   79.0
 1986  9   23.8
 1986 10  275.9
 1986 11   77.5
 1986 12    5.0
 1987  1   12.6
 1987  2   11.5
 1987  3   96.6
 1987  4   65.3
 1987  5  315.0
 1987  6   75.1
 1987  7   67.3
 1987  8   89.9
 1987  9   46.7
 1987 10  322.9
 1987 11   58.8
 1987 12   11.7
 1988  1  118.3
 1988  2  456.2
 1988  3  392.0
 1988  4  671.1
 1988  5  119.2
 1988  6  541.8
 1988  7  744.3
 1988  8 1003.0
 1988  9  401.8
 1988 10 1078.9
 1988 11  918.4
 1988 12 1663.3
